,셰프,닉네임,식당,주소,URL,별점,리뷰 수,스타일,매장 설명,기타 정보
35,오준탁,영탉으,탄막,서울특별시 용산구 한강대로84길 5-3 1층 15호,https://app.catchtable.co.kr/ct/shop/tanmak?type=DINING,4.6,39,요리주점,홍콩미쉐린 야드버드 출신 흑백요리사 영탉의 숯이 나오는 곳에서 음식과 술을 대접하는 곳,"주차주차 , 가능 , 콜키지 , 가능 , 단체 , 이용가능 , 홀 , 대관 , 가능"
36,조셉 리저우드,조셉 리저우드,Restaurant EVETT,서울특별시 강남구 도산대로45길 10-5 LS빌딩 1층,https://app.catchtable.co.kr/ct/shop/evett?type=DINING,4.6,448,컨템포러리,미쉐린 1스타 조솁 리저우드 셰프가 한국 식재료 재해석을 통해 선사하는 새로운 관점의 미식 경험.,"점심 15만원 , 저녁 25만원주차 , 가능 , 발렛 , 가능 , 콜키지 , 가능 , 단체 , 이용가능 , 홀 , 대관 , 가능 , 전문 , 소믈리에"
37,최지형,최지형,리북방x스텔라 고메데이,서울특별시 마포구 마포대로1길 16 A&D빌딩,https://app.catchtable.co.kr/ct/shop/leebukbangstellagourmetday?type=DINING,0.0,0,한식,,"오늘 (화) , 휴무일홀"
38,현상욱,간귀,키보 에다마메,서울특별시 용산구 한강대로76길 11-40 1층,https://app.catchtable.co.kr/ct/shop/edamame?type=DINING,4.8,78,이자카야,"키보의 네번째 프로젝트인 에다마메는 정식당, DOTZ 출신 흑백요리사 '간귀'와 함께하는 일본식 중화요리가 맛있는 이자카야 입니다.","점심, 저녁 동일가 , 1-2만원주차 , 가능 , 콜키지 , 가능 , 웰컴키즈존 , 반려동물 , 동반 , 단체 , 이용가능 , 홀 , 대관 , 가능"
39,김병묵,야키토리왕으,야키토리묵 신사점,서울특별시 강남구 강남대로152길 23 지하 1층,https://app.catchtable.co.kr/ct/shop/yakitorimook_sinsa?type=DINING,4.7,1508,야키토리,토종닭을 부위 별로 맛볼 수 있는 야키토리 전문점,"점심 영업안함 , 저녁 2.2 - 3.5만원자동결제 , 홀 , 바 , 전문 , 소믈리에"
40,박지영,키친갱스터,나우 남영,서울특별시 용산구 원효로89길 23 2층,https://app.catchtable.co.kr/ct/shop/nawoo_more.better?type=DINING,4.7,71,다이닝바,"흑백요리사 키친갱스터의 음식, 빵, 와인을 함께 즐길 수 있는 비스트로 와인바","점심, 저녁 동일가 , 1-3만원자동결제 , 룸 , 콜키지 , 가능 , 반려동물 , 동반 , 노키즈존 , 바 , 대관 , 가능"
41,오세득,오세득,오팬파이어,"제주특별자치도 제주시 조천읍 남조로 1781 제주특별자치도 제주시 조천읍 남조로 1781, 1층",https://app.catchtable.co.kr/ct/shop/ohpanfire?type=DINING,4.0,51,스페인음식,하이브리드 스타 셰프 오세득 셰프가 최초로 선보이는 한국식 빠에야 오팬파이어,"주차주차 , 가능 , 단체 , 이용가능 , 홀 , 아기의자 , 대관 , 가능 , 대기공간"
42,김미령,이모카세 1호,즐거운술상,서울특별시 도봉구 노해로 341 신원리베르텔 117호,https://app.catchtable.co.kr/ct/shop/happy_table?type=DINING,0.0,0,요리주점,흑백요리사 이모카세 1호의 그날 그날 신선한 재료와 제철 식재료를 사용하는 이모카세 요리주점,"점심 영업안함 , 저녁 5만원홀"
43,안유성,안유성,광주옥1947,광주광역시 서구 상무대로 1104-20,https://app.catchtable.co.kr/ct/shop/gwangjuok1947?type=DINING,0.0,0,"국수,냉면",광주에서 즐기는 전통 평양냉면 맛집,"점심, 저녁 동일가 , 1-2만원홀"
44,파브리,파브리,파브리키친,서울특별시 용산구 한강대로15길 23-6 1층,https://app.catchtable.co.kr/ct/shop/fabrikitchen?type=DINING,0.0,0,이탈리아음식,15년 연속 이탈리아 미쉐린 1스타 셰프 파브리의 이태리 가정식,"점심, 저녁 동일가 , 1-3만원홀"
45,남정석,남정석,그린볼,복사,https://app.catchtable.co.kr/ct/shop/greenball_gangneung?type=DINING,0.0,0,이탈리아음식,"국내 채소요리 1인자 남정석 셰프의 이탈리아 베이스의 브런치, 커피, 디저트, 와인이 있는 레스토랑","점심, 저녁 동일가 , 1-3만원주차 , 가능 , 콜키지 , 가능 , 반려동물 , 동반 , 단체 , 이용가능 , 홀 , 아기의자"
46,박준우,박준우,오쁘띠베르,서울특별시 종로구 자하문로 47-1,https://app.catchtable.co.kr/ct/shop/Y2F0Y2hfUHBxNGg5c1hDZDBhdnpGenFpZ05sdz09?type=DINING,0.0,0,"카페,디저트",마스터 셰프 코리아 1 준우승 박준우 셰프의 서촌에서 만날 수 있는 작은 유럽,"점심, 저녁 동일가 , 1-2만원단체 , 이용가능 , 홀"
47,김승민,김승민,모리노아루요,제주특별자치도 제주시 애월읍 하소로 769-58,https://app.catchtable.co.kr/ct/shop/morino_aruyo?type=DINING,0.0,0,일식,마스터 세프 코리아 1 우승자 출신 김승민 셰프의 제주 일식당,"점심, 저녁 동일가 , 1-3만원홀"
